Date,USA_StringencyIndex,USA_StringencyIndex_LogChange,USA_StringencyIndex_Cumulative,USA_StringencyLegacyIndex,USA_StringencyLegacyIndex_LogChange,USA_StringencyLegacyIndex_Cumulative,USA_GovernmentResponseIndex,USA_GovernmentResponseIndex_LogChange,USA_GovernmentResponseIndex_Cumulative,USA_ContainmentHealthIndex,USA_ContainmentHealthIndex_LogChange,USA_ContainmentHealthIndex_Cumulative,USA_EconomicSupportIndex,USA_EconomicSupportIndex_LogChange,USA_EconomicSupportIndex_Cumulative
2020-06-11,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-06-12,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-06-13,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-06-14,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-06-15,68.98,-0.051657617,4.248209483921528,68.57,-0.050041974,4.242333313450217,68.45,-0.033695146,4.240607151761651,69.44,-0.038707323,4.254761269316077,62.5,0.0,4.151040077209473
2020-06-16,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,68.45,0.0,4.240607151761651,69.44,0.0,4.254761269316077,62.5,0.0,4.151040077209473
2020-06-17,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,68.45,0.0,4.240607151761651,69.44,0.0,4.254761269316077,62.5,0.0,4.151040077209473
2020-06-18,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,68.45,0.0,4.240607151761651,69.44,0.0,4.254761269316077,62.5,0.0,4.151040077209473
2020-06-19,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,68.45,0.0,4.240607151761651,69.44,0.0,4.254761269316077,62.5,0.0,4.151040077209473
2020-06-20,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,68.45,0.0,4.240607151761651,69.44,0.0,4.254761269316077,62.5,0.0,4.151040077209473
2020-06-21,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,68.45,0.0,4.240607151761651,69.44,0.0,4.254761269316077,62.5,0.0,4.151040077209473
2020-06-22,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,68.45,0.0,4.240607151761651,69.44,0.0,4.254761269316077,62.5,0.0,4.151040077209473
2020-06-23,68.98,0.0,4.248209483921528,68.57,0.0,4.242333313450217,68.45,0.0,4.240607151761651,69.44,0.0,4.254761269316077,62.5,0.0,4.151040077209473
